 "g" , "hw" , "pos" , "sub" , "f" ,
 "http://faclair.ac.uk/sources/Seotal" , "Am Pòla a Deas" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Am Pòla a Tuath" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Ameireaganach" , "http://faclair.ac.uk/meta/Adjective" , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Cogadh Mòr" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Coimisean Eòrpach" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Modern Studies]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Crios-grèine" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Dara Geàrr-Chunntas" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Mathematics]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Dàrna Cogadh" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Dàrna Cogadh" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Mathematics]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Dùbhlachd" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Eaglais Mheatodach agus eaglaisean co-cheangailte" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Eaglais Shaor Leantainneach" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Leabhar" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Rìoghachd Aonaichte" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Seann Tiomnadh (Tanakh)" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Religious and Moral Education]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Taisbeanadh (Apocalypse)" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Religious and Moral Education]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Talamh" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Tiomnadh Nuadh" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Religious and Moral Education]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Tionndadh Uaine" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An Treas Geàrr-chunntas" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Mathematics]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An t-Aonadh Eòrpach" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Modern Studies]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An t-Arm Dùthchail" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An t-Eilean Naomh" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Religious and Moral Education]" ,
 "http://faclair.ac.uk/sources/Seotal" , "An t-Seirbheis Chatharra" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Modern Studies]" ,
